"Access to private sales and exclusive offers","Accès aux ventes privées et offres exclusives"
"Billing Address","Adresse de facturation"
"Confirmed Payment","Paiement confirmé"
"Continue Shopping","Continuer mes achats"
"Create my account","Créer mon compte"
"Create your account in 30 seconds","Créez votre compte en 30 secondes"
"Delivered","Livrée"
"Estimated: %1","Estimé : %1"
"Fast checkout for your next orders","Paiement express pour vos prochaines commandes"
"In progress","En cours"
"Item","Article"
"No billing address available","Aucune adresse de facturation disponible"
"No obligation, unsubscribe anytime","Sans engagement, désinscription à tout moment"
"No payment method available","Aucun mode de paiement disponible"
"No shipping address available","Aucune adresse de livraison disponible"
"No shipping method available","Aucun mode de livraison disponible"
"Order Placed","Commande confirmée"
"Order Processing","En attente de traitement"
"Order Status","Statut de la commande"
"Order Summary","Résumé de la commande"
"Payment Confirmed","Paiement confirmé"
"Payment Method","Mode de paiement"
"Price","Prix"
"Print Order","Imprimer la commande"
"Qty","Qté"
"Real-time tracking of your orders","Suivi en temps réel de vos commandes"
"Save your favorites in your selection","Sauvegardez vos coups de cœur dans votre sélection"
"Sent","Expédiée"
"Shipping Address","Adresse de livraison"
"Shipping Method","Mode de livraison"
"Subtotal","Sous-total"
"Thank you for your purchase!","Merci pour votre achat !"
"To be confirmed","À confirmer"
"Track your order and enjoy exclusive benefits:","Suivez votre commande et profitez d'avantages exclusifs :"
"View Order","Voir la commande"
"We'll email you an order confirmation with details and tracking info.","Nous vous enverrons un email de confirmation avec les détails et les informations de suivi."
"Your email is already pre-filled","Votre email est déjà pré-rempli"
"Your order number is: %1","Votre numéro de commande est : %1"